beer,style,origin,originCountry,abv,method,city,region,country,cc,rating,isNew,month,monthN,year
IJwit,Wheat Beer,NL,Netherlands,6.5,Draft,Antwerp,Antwerp,Belgium,BE,3.75,true,Mar,3,2026
La Chouffe Blonde,Belgian Ale,BE,Belgium,8,Bottle,New Rochelle,New York,USA,US,4.25,true,Mar,3,2026
Stiegl Goldbräu,Lager,AT,Austria,5,Bottle,New Rochelle,New York,USA,US,2.75,true,Mar,3,2026
Modelo Oro,Lager,MX,Mexico,4,Can,New Rochelle,New York,USA,US,3,true,Mar,3,2026
Super Bock,Lager,PT,Portugal,5.2,Bottle,Lagos,Algarve,Portugal,PT,3,true,Apr,4,2026
Estrella Jalisco,Lager,MX,Mexico,4.5,Bottle,New Rochelle,New York,USA,US,3.75,true,Apr,4,2026
Rolling Rock Extra Pale,Lager,US,USA,4.4,Bottle,New Rochelle,New York,USA,US,3.25,true,Apr,4,2026
Carlsberg Elephant,Lager,DK,Denmark,7.2,Bottle,New Rochelle,New York,USA,US,3.5,true,Apr,4,2026
Dos Equis Lager Especial,Lager,MX,Mexico,4.2,Draft,Queens,New York,USA,US,1.75,true,Apr,4,2026
Miller Lite,Lager,US,USA,4.2,Bottle,New Rochelle,New York,USA,US,2.25,true,Apr,4,2026
Belhaven Scottish Stout,Stout,GB-SCT,Scotland,5.2,Nitro,Boston,Massachusetts,USA,US,3,true,May,5,2026
Samuel Adams Summer Ale,Wheat Beer,US,USA,5.3,Draft,Boston,Massachusetts,USA,US,3,true,May,5,2026
Pacífico Clara,Lager,MX,Mexico,4.5,Bottle,Clemson,South Carolina,USA,US,3.75,true,May,5,2026
Narragansett Lager,Lager,US,USA,5,Can,New York,New York,USA,US,3.25,true,May,5,2026
Big Wave Golden Ale,Pale Ale,US,USA,4.4,Can,New York,New York,USA,US,3.75,true,May,5,2026
Smithwick's,Red Ale,IE,Ireland,4.5,Draft,White Plains,New York,USA,US,2.75,true,May,5,2026
Daura,Lager,ES,Spain,5.4,Bottle,New York,New York,USA,US,3,true,May,5,2026
Asahi Super Dry,Lager,JP,Japan,5,Bottle,Eastchester,New York,USA,US,3.5,true,May,5,2026
Blue Moon,Wheat Beer,US,USA,5.4,Draft,New York,New York,USA,US,3.5,true,May,5,2026
Hop Commander,IPA,US,USA,6.5,Draft,New York,New York,USA,US,3,true,Jun,6,2026
Paulaner Hefe-Weißbier,Wheat Beer,DE,Germany,5.5,Bottle,New York,New York,USA,US,4,true,Jun,6,2026
Medalla Light,Lager,PR,Puerto Rico,4.2,Bottle,San Juan,San Juan,Puerto Rico,PR,4,true,Jun,6,2026
Magna,Lager,PR,Puerto Rico,4.5,Bottle,San Juan,San Juan,Puerto Rico,PR,4,true,Jun,6,2026
Ocean SJU,Lager,PR,Puerto Rico,5.9,Bottle,San Juan,San Juan,Puerto Rico,PR,2.5,true,Jun,6,2026
Bloodline Blood Orange IPA,IPA,US,USA,8,Bottle,San Juan,San Juan,Puerto Rico,PR,3.5,true,Jun,6,2026
Goose IPA,IPA,US,USA,5.9,Can,Washington,District of Columbia,USA,US,3.5,true,Jun,6,2026
Almaza Pilsener,Pilsner,LB,Lebanon,4.2,Bottle,Washington,District of Columbia,USA,US,2.75,true,Jun,6,2026
Mythos,Lager,GR,Greece,5,Bottle,Washington,District of Columbia,USA,US,3.25,true,Jun,6,2026
Stone IPA,IPA,US,USA,6.9,Can,New Rochelle,New York,USA,US,2.5,true,Jul,7,2026
Mahou Cinco Estrellas,Lager,ES,Spain,5.5,Bottle,Boynton Beach,Florida,USA,US,3.5,true,Jul,7,2026
Hatuey Lager,Lager,CU,Cuba,5,Bottle,Miami,Florida,USA,US,4,true,Jul,7,2026
Pub Ale,Pale Ale,GB-ENG,England,4.7,Can,New Rochelle,New York,USA,US,4.25,true,Jul,7,2026
Spaten Oktoberfest Ur-Märzen / Winter,Lager,DE,Germany,5.9,Draft,New York,New York,USA,US,2.75,true,Jul,7,2026
Peroni Nastro Azzurro,Lager,IT,Italy,5.1,Bottle,Ischia,Campania,Italy,IT,3,true,Aug,8,2026
DAB Dortmunder Export,Lager,DE,Germany,5,Draft,Ischia,Campania,Italy,IT,4.5,true,Aug,8,2026
Beck's,Pilsner,DE,Germany,4.9,Bottle,Ischia,Campania,Italy,IT,3,true,Aug,8,2026
Ichnusa Anima Sarda,Lager,IT,Italy,4.7,Bottle,Ischia,Campania,Italy,IT,3.75,true,Aug,8,2026
Chill Lemon,Shandy / Radler,IT,Italy,2,Bottle,Capri,Campania,Italy,IT,4,true,Aug,8,2026
Peroni Original,Lager,IT,Italy,4.7,Bottle,Ischia,Campania,Italy,IT,3.25,true,Aug,8,2026
Bitburger Radler,Shandy / Radler,DE,Germany,2.5,Can,New Rochelle,New York,USA,US,4,true,Aug,8,2026
Radeberger Pilsner,Pilsner,DE,Germany,4.8,Bottle,White Plains,New York,USA,US,3,true,Aug,8,2026
Presidente,Pilsner,DO,Dominican Republic,5,Bottle,New Rochelle,New York,USA,US,3,true,Aug,8,2026
Heineken Silver,Lager,NL,Netherlands,4,Draft,Queens,New York,USA,US,3,true,Aug,8,2026
Amstel,Lager,NL,Netherlands,5,Bottle,Tarrytown,New York,USA,US,2.5,true,Sep,9,2026
